,A_1,A_2,A_3
378,3.1999999999999997,2.8,2.4
379,2.4,2.2,2.2
380,4.2,2.8,4.0
381,3.2,3.2,3.4
382,3.1999999999999997,3.8,4.2
383,2.2,2.6,2.6
384,1.5999999999999996,1.6,2.0
385,1.6,2.0,1.2
386,3.2,3.0,3.0
387,1.2,1.4,1.0
388,2.2,2.8,2.2
389,3.6,3.8,3.8
390,2.2,2.6,2.0
391,2.6000000000000005,2.8,3.0
392,1.6,3.6,3.4
393,1.0000000000000002,1.0,1.0
394,3.6,3.4,3.4
395,1.8,1.6,1.2
396,1.9999999999999993,2.2,1.8
397,3.6,3.0,3.2
398,1.9999999999999996,2.4,2.4
399,2.2,1.8,1.4
400,1.6,1.6,1.4
401,2.4,2.4,2.2
402,1.7999999999999996,1.8,1.8
403,3.6,3.6,3.6
404,3.3999999999999995,3.6,3.6
405,3.1999999999999997,3.2,2.4
406,1.6,1.4,1.2
407,3.6,3.4,2.2
408,3.6,3.2,3.2
409,1.8,2.4,1.8
410,3.8000000000000016,3.8,1.8
411,2.8,2.2,2.0
412,1.2,1.2,1.2
413,3.1999999999999997,3.2,2.4
414,3.6,3.8,4.0
415,2.3999999999999995,1.6,1.4
416,0.9999999999999997,1.0,1.0
417,1.7999999999999996,1.4,1.4
418,2.8,1.8,2.6
419,1.8,2.4,2.0
420,4.4,3.8,4.2
421,2.8,2.6,3.0
422,2.4,2.2,2.2
423,2.0,2.0,1.6
424,1.6,1.4,1.4
425,2.0,2.4,1.8
426,3.4,3.6,3.6
427,1.1999999999999997,1.4,1.6
428,3.4,3.4,3.0
429,3.0,3.0,3.4
430,1.8,2.0,1.6
431,2.0,1.8,1.6
432,3.2,3.0,3.0
433,3.0,3.6,2.8
434,2.8,2.8,2.8
435,1.2,1.0,1.0
436,1.0,1.0,1.0
437,2.8,2.2,1.6
438,1.6,1.8,2.2
439,1.4,2.0,2.4
440,2.4,1.8,2.6
441,1.4,1.4,1.8
442,2.0,2.2,2.4
443,3.6,2.8,2.2
444,4.0,3.4,3.4
445,2.8,3.2,3.4
446,3.0000000000000004,2.8,1.8
447,1.8000000000000003,1.6,1.2
448,1.6,2.2,1.8
449,1.2000000000000002,1.2,1.2
450,1.6,1.8,1.8
451,2.4,2.2,2.2
